Player,Actual_Y,Linear_Regression,MLPRegressor,SVMR,DeepNN
0,82.55913978,80.96838379,81.47432248,82.1210117,81.00771332
1,83.27659574,78.09411621,77.27389043,81.77389578,77.61936188
2,76.91935484,78.75332642,79.85231202,78.99441913,78.3373642
3,72,76.74462891,77.26740638,79.79014468,77.90100098
4,64.57142857,70.98193359,71.40916552,73.8119361,71.39607239
5,85.44117647,75.95117188,75.86676257,77.75314191,76.63608551
6,80.5,73.87896729,74.45868177,75.98362963,74.67331696
7,86.95061728,78.96960449,79.50277813,81.93254401,79.30873108
8,82.85294118,81.44827271,81.79790531,80.42538355,79.59580994
9,26,66.79537964,62.58333251,72.27203951,66.81994629
10,82.98630137,87.39718628,86.25285312,85.59548835,85.92295074
11,70.43333333,78.9677124,78.83889659,81.08917699,78.09085083
12,80.12820513,83.42214966,85.57744406,85.22933031,85.01844025
13,87.23404255,83.29083252,83.57729903,83.27435306,83.21360016
14,50,73.24935913,73.61534951,76.83535196,73.95096588
15,87.71428571,75.13308716,75.47951626,77.54733622,75.91700745
16,81.13043478,75.99401855,76.6780659,77.08381312,77.06481171
17,58.4,68.92352295,69.13514137,72.50345563,69.01076508
18,56,77.14141846,77.71514601,80.21794996,77.9841156
19,75,74.79553223,75.20802317,77.32183795,75.51860046
20,92.29807692,86.95065308,87.39877584,87.49267251,88.05007172
21,80.78947368,74.49591064,74.50498763,76.00378026,75.10357666
22,82.08988764,82.47705078,81.20360336,81.74084775,80.89928436
23,83.26190476,76.79187012,77.4411281,77.43660292,76.36555481
24,57.08333333,71.52368164,71.71829944,73.51584369,71.6798172
25,83.00943396,80.73681641,83.06584353,84.24798253,80.01011658
26,86.4,77.52630615,77.80294039,79.73701774,77.85649872
27,82.20833333,82.57757568,83.46245024,82.20837215,83.32440948
28,81,70.26040649,70.80852467,73.07608812,70.68141937
29,65.02702703,72.04833984,73.62959345,76.14925215,73.0578537
30,94.875,72.11325073,72.28448332,73.93724349,72.42159271
31,55.8125,71.62963867,71.66920619,73.90649541,71.60715485
32,86,72.33004761,72.67484608,75.08992905,72.87223816
33,81.47619048,77.71862793,76.94713543,77.26387347,77.02806854
34,62,68.87594604,69.03919717,73.40388338,69.43769073
35,79.23076923,76.05032349,76.22558598,78.68472624,76.67847443
36,72.5,75.34265137,74.00846213,76.15410601,75.07433319
37,70.94736842,72.74761963,73.06311009,73.88299721,72.38990021
38,86.06666667,77.06246948,76.23554748,78.48629126,76.2834549
39,82.04166667,75.37036133,76.78892578,77.59760989,76.18028259
40,85.73333333,85.32595825,85.68417857,85.04386771,87.37236023
41,91.50980392,83.42422485,84.46596827,86.20204871,84.58156586
42,93.5862069,97.49264526,96.28927032,89.8252853,96.56546021
43,77.71929825,79.51553345,81.04490019,79.83673807,80.34499359
44,78.42857143,73.6060791,74.32890452,75.61709391,74.34285736
45,83.65979381,86.47763062,85.67984278,83.10652001,86.31932831
46,74.9,74.17605591,74.38591765,75.43123202,73.59921265
47,67.61111111,70.91680908,71.39955005,73.4534252,71.31044006
48,76.67857143,70.85372925,71.11188711,73.4667396,70.61676788
49,82.20895522,80.69088745,81.17614263,84.17930306,81.6687851
50,66.90909091,72.26504517,72.57900083,74.69261458,72.97536469
51,65.33333333,73.79962158,73.37511131,74.92265524,73.75897217
52,82.67142857,86.51187134,87.51504046,85.31546244,87.45230103
53,73.85714286,73.89816284,73.88629813,75.57238807,74.11763
54,77.10769231,79.73910522,80.39993715,79.10690538,78.40778351
55,74.57142857,72.17050171,72.4397407,74.72716413,72.58087921
56,81.60416667,80.05761719,79.62678371,80.04445551,80.60318756
57,82.53846154,77.02346802,77.42312504,79.3411663,77.70454407
58,80.05882353,80.97775269,81.29342743,81.77634522,82.42014313
59,87.6,76.48800659,77.12148741,79.3965162,77.26944733
60,76.77419355,76.98001099,77.32753364,77.53626675,77.04555511
61,82.93103448,84.41073608,84.93175127,84.53338599,85.22214508
62,75.94117647,77.42459106,77.82412767,79.15277197,77.51527405
63,63.14285714,72.19528198,71.96422201,74.14716389,72.23859406
64,72.75757576,74.25793457,74.51609811,77.52806555,73.62499237
65,72.5,68.91497803,68.94149565,72.44237821,69.02973938
66,21,69.02731323,69.38033112,72.7712724,69.33144379
67,34,69.63433838,69.90602724,73.35094753,70.04872894
68,54.5,73.60284424,73.99820325,75.98691295,74.14562225
69,81.1875,74.28009033,74.05214567,75.41859764,74.75034332
70,84.8,75.90628052,75.76323561,77.58605245,76.28275299
71,93,87.21191406,86.90730636,85.71817078,88.19758606
72,80.64893617,86.35845947,85.332652,83.54882886,85.35932159
73,81.06976744,86.00463867,85.5177457,86.69912199,82.31903839
74,80.08,79.35308838,78.84655019,80.34388561,77.02263641
75,87.79090909,79.40298462,81.74539771,84.6899114,84.56555939
76,73.75,69.8321228,69.91531003,72.93146886,69.68677521
77,64.88888889,72.35635376,72.24499432,74.50861748,72.6238327
78,67.71794872,72.61480713,73.0819499,75.20927419,72.17629242
79,82.97674419,85.95944214,85.61349093,82.99171262,85.72085571
80,70.39473684,74.06903076,74.73999176,76.63367381,74.68000031
81,80.64516129,84.01077271,84.18467261,82.54573183,84.29821014
82,81.72727273,77.21420288,77.86312823,79.1827543,78.1840744
83,81.59183673,72.68029785,73.42925281,76.16179438,72.02725983
84,54.14285714,71.90527344,72.24998749,73.8964884,72.24663544
85,77.54411765,83.92449951,84.16934268,82.23747037,83.25315094
86,92.42268041,87.27529907,88.07776846,88.95422936,87.81944275
87,65.75,74.08465576,74.22489534,76.66117831,74.64070892
88,74.72727273,74.24813843,74.49928594,75.84564188,74.78200531
89,75.1509434,77.76126099,77.73499942,78.23685888,76.74118805
90,84.48148148,77.62915039,77.1761612,77.28881211,77.97450256
91,92.2,76.51223755,77.72198906,79.22285544,77.34503174
92,87.57627119,84.7102356,85.40808338,84.65055608,86.10181427
93,86.71559633,84.69003296,83.29295706,85.16437086,85.82192993
94,74.2,73.77044678,74.03686436,75.23115884,74.11927032
95,84.89344262,83.47024536,81.20599241,84.89339921,86.56468201
96,83.52941176,76.02444458,75.97502209,76.76313282,76.30474854
97,86,74.50244141,74.86305525,77.21589028,75.23070526
98,85,67.28839111,67.42475594,72.31492657,67.07914734
99,77.70588235,82.90325928,82.02717414,81.1803141,82.33144379
100,85.52380952,78.35855103,77.93232872,78.57935027,78.83760834
101,94.9047619,97.13519287,97.30540236,91.34845212,98.04886627
102,84.52252252,81.48519897,82.89702507,84.41634851,84.40471649
103,79,69.67733765,70.0195872,73.11273163,70.03676605
104,89.10126582,90.73736572,90.79953435,90.88666566,91.78821564
105,75.97222222,75.62765503,76.88062217,76.87386513,76.36702728
106,79.10377358,82.99905396,83.85818882,83.35049761,82.52523041
107,73.66666667,72.33248901,71.51431012,73.3990782,71.83547974
108,78.75961538,90.13088989,88.10620988,83.13647485,86.82332611
109,76.5,74.90759277,75.59466987,77.08642496,75.50237274
110,70.27272727,73.11819458,73.00387002,74.25190694,73.28424835
111,73.14285714,70.43783569,70.66377154,72.75114749,70.51509857
112,42,71.22076416,71.36706921,73.88135304,71.49187469
113,88.9,83.62265015,83.43422423,83.60289382,83.76845551
114,74.75,72.23730469,71.94693273,75.80163547,71.88169098
115,70.33333333,77.23867798,77.99832029,79.87306358,77.6772995
116,46,69.59112549,69.97091593,73.43250257,69.94406128
117,63.025,71.09164429,71.13899276,73.8707178,70.6498642
118,87.50666667,88.41424561,87.46452529,84.17838211,87.68653107
119,67.93442623,78.16052246,78.88712638,80.4910515,78.2546463
120,71.25,76.84411621,76.83847769,77.3238074,77.82731628
121,82.57692308,72.72528076,73.4775343,74.94870362,72.96253204
122,77.86486486,81.33416748,80.17732037,81.50065293,80.5794754
123,83.62037037,88.61660767,85.24648914,83.62050912,84.73316193
124,73.07462687,79.17636108,80.42264562,80.0259846,79.7125473
125,81.51282051,83.931427,83.23046709,84.74431096,84.18334198
126,80.94736842,80.14440918,79.69692404,80.46446289,79.26222992
127,64,72.66879272,73.19878037,75.06341025,73.20615387
128,88.45901639,88.04644775,86.74140314,88.45927062,88.30763245
129,73.46666667,70.35089111,71.0864856,73.28099908,71.07582855
130,48.95,71.12966919,71.59707302,74.15803732,71.42418671
131,68,73.00793457,73.60393939,75.78150075,73.74988556
132,77.85,78.11828613,78.12794017,79.79225664,78.16178131
133,86.28301887,79.03939819,78.18666598,78.93020174,77.67123413
134,91.42718447,94.98480225,94.88946863,91.20281325,95.89361572
135,58.76923077,74.02560425,74.52606283,76.74622289,74.89155579
136,77.85365854,73.83700562,75.28872483,76.63253558,74.03807831
137,79.05128205,75.26464844,77.10292418,81.18421476,75.26259613
138,82.15873016,80.02450562,79.97745236,79.65106317,77.89881134
139,88.34545455,95.72103882,93.82861635,86.67129918,94.31957245
140,86,79.33679199,79.35297426,79.94128873,79.96842194
141,76.54736842,82.54922485,81.07434078,83.44144022,82.42176056
142,79,75.84988403,76.22237346,77.97961119,76.50754547
143,86.3,77.63064575,77.66537438,78.36142434,77.53961945
144,84.39759036,83.02203369,81.6707625,82.10344076,80.85112
145,91.78873239,94.56832886,93.90099917,90.4054385,94.94139862
146,84.29113924,82.99319458,83.26465927,84.19506022,85.24990845
147,42,70.17303467,70.41237471,73.50787854,70.44732666
148,80.8125,73.31161499,73.50675983,74.38928036,73.78118134
149,87.23529412,92.68093872,88.71989618,84.48186095,89.58598328
150,77.25,71.13900757,71.52153941,75.2242521,71.37083435
151,79.94936709,77.74517822,79.27468372,80.26328011,77.92591095
152,70.27659574,77.08810425,76.11723635,77.6016357,76.97768402
153,94.91666667,77.96380615,78.39937493,79.17325085,78.78945923
154,76.95,74.86914063,74.78341993,75.55105237,75.36974335
